customer_unique_id,M_total,group_label
0256a460aa82066254d63d60bc21076e,92.41,B_对照组
02574dbc91dbde4c31f8c4e5ccd4f808,179.26,B_对照组
0258ab8ce9fe72c23efb37dd0dcf1307,41.75,B_对照组
025d137104467c3e5c07018d9d0bb6fa,111.55,B_对照组
02604e6d24c19c9e8c72bb1044bc48e0,36.70,B_对照组
0263cd21a17b7b8396e582d110c6ad3c,207.79,B_对照组
02682c9a04df6a3e140e2e7eb78fa693,178.44,B_对照组
026928fd79018e3c6b635da82781eb62,65.00,B_对照组
026d6aade0923331c6065e5daa7aafda,134.76,B_对照组
027e682a11d8db5a162f01e1b59700cb,148.58,B_对照组
0280239e6c4add91b8a415d9b2566649,133.95,B_对照组
0283d9c78c980d3ea0fce611bbc8ad5b,267.50,B_对照组
02848edda6ee321f306660a8399d8cc9,100.85,B_对照组
028610eb2f6daf6bb4c37e1bd2b42210,472.41,B_对照组
028bb7f0b0813c2df891b680c35b5f63,215.83,B_对照组
0296ddaa154279cc2bd15621e06e6f1f,119.84,B_对照组
029800f459300049c50c59dcc4244e44,144.56,B_对照组
029b457bd01199c39136f89e0eddcd3a,347.55,B_对照组
02a81ef75e80450061b235f691600dc0,56.69,B_对照组
02aa4845dc6ee08624bcc899ad684b33,85.16,B_对照组
02ab167135d5d29cdc77b3147d75c1ef,53.42,B_对照组
02ab4d19fd037fa00ad9892f7d529a8f,150.05,B_对照组
02ba172a1f7657976fc944d9f55aeba4,129.32,B_对照组
02bb821f9cd6c3079ecb9fed96232e18,96.81,B_对照组
02c163ec34a9218f6f3e1e1a7b9aeb28,119.48,B_对照组
02c233db34d21b47050e9db36aeec3ff,174.74,B_对照组
02c2adcfacd7ead855d2497e0d8eecae,185.11,B_对照组
02c2da81e0468b7b62d6bacca02679e6,75.07,B_对照组
02c53bbdf9a343fbfe47d05e1ce96b20,85.34,B_对照组
02c56fe95ed4ef5fd0623142ffb83c28,142.56,B_对照组
02c77985e45aa50795362b8a2013aac9,195.13,B_对照组
